rm;pausada;data_pausa
2901;0;2018-01-02 00:00:00
8242;0;2018-01-30 08:51:35
8282;1;2018-01-02 00:00:00
10719;0;2018-01-02 00:00:00
10981;0;2018-05-11 14:50:56
11218;0;2018-01-02 00:00:00
11328;1;2018-01-02 00:00:00
11349;1;2018-01-02 00:00:00
11357;0;2018-01-02 00:00:00
11379;0;2018-02-06 14:40:23
11665;1;2018-01-02 00:00:00
11996;0;2018-01-02 00:00:00
12217;0;2018-01-02 00:00:00
12356;0;2018-01-09 15:39:41
12358;0;2018-01-02 00:00:00
12360;0;2018-01-09 15:21:52
12361;0;2018-01-09 15:20:57
12487;0;2018-01-02 00:00:00
12538;1;2018-01-02 00:00:00
12539;1;2018-01-02 00:00:00
12872;1;2018-01-02 00:00:00
12916;0;2018-01-02 00:00:00
13130;0;2018-01-02 00:00:00
13354;0;2018-01-30 15:56:17
13431;0;2018-01-02 00:00:00
13451;0;2018-05-11 15:58:46
13593;0;2018-01-02 00:00:00
13820;0;2018-01-02 00:00:00
13880;0;2018-01-02 00:00:00
13882;0;2018-02-09 11:01:50
13946;0;2018-01-02 00:00:00
13962;0;2018-01-10 11:21:52
14020;0;2018-05-02 09:50:11
14046;0;2018-01-02 00:00:00
14047;1;2018-01-02 00:00:00
14066;0;2018-01-02 00:00:00
14078;0;2018-01-02 00:00:00
14148;0;2018-01-29 08:47:35
14188;0;2018-01-02 00:00:00
14199;0;2018-01-02 00:00:00
14205;0;2018-01-02 00:00:00
14215;1;2018-01-02 00:00:00
14267;0;2018-02-28 15:33:12
14298;0;2018-01-02 00:00:00
14326;0;2018-01-02 00:00:00
14344;0;2018-01-02 00:00:00
14348;1;2018-01-02 00:00:00
14348;0;2018-03-07 14:52:50
14358;0;2018-01-02 00:00:00
14358;1;2018-05-11 15:56:05
14422;1;2018-01-02 00:00:00
14455;1;2018-01-02 00:00:00
14473;0;2018-01-02 00:00:00
14473;1;2018-05-11 15:56:25
14473;0;2018-05-11 16:00:53
14492;0;2018-04-02 16:03:12
14569;1;2018-01-02 00:00:00
14638;0;2018-01-02 00:00:00
14668;1;2018-01-02 00:00:00
14751;0;2018-01-02 00:00:00
14766;0;2018-01-02 00:00:00
14786;0;2018-04-11 16:45:34
14812;0;2018-01-02 00:00:00
14817;1;2018-01-02 00:00:00
14832;0;2018-01-02 00:00:00
