rm;titulo;id_projeto;projeto;tipo_rm;is_backlog
2901;Verificar alteração de valores...;9;GMNE;Atendimento;1
8023;Automatizar o processo da programação de coleta de amostras de cianotoxinas (bruta e tratada);16;SGCQ;Evolutiva;1
8242;Emissão de etiquetas de materiais;3;Alpha;Evoluções e Novos Projetos;1
8282;COBRANÇA DE DÉBITO POR CLIENTE E POR PERÍODO;17;GSAN;Evolutiva;1
8602;Criação de trava na importação das Horas não validadas;32;GHE - Gestão de Horas Extras;Evolutiva;1
8671;Replicar a meta até Dezembro;32;GHE - Gestão de Horas Extras;Atendimento;1
8721;Criar Relatório contendo dados de usuários.;32;GHE - Gestão de Horas Extras;Atendimento;1
10719;Melhorias no controle de acesso ao GSAN;17;GSAN;Evolutiva;1
10981;Solução definitiva da RM 10949 - Processo 282;17;GSAN;Corretiva;1
11218;Na tabela MICROMEDICAO.HIDROMETRO_INST_HIST está permidindo no campo HIDI_ICINSTALACAOSUBSTITUICAO números diferentes de 1 e 2;17;GSAN;Corretiva;1
11328;Tratar erro na transferência de débitos entre imóveis;17;GSAN;Corretiva;1
11339;Demanda de Atendimento - Falconi Consultoria;54;GSI - APOIO A GESTÃO;Atendimento;1
11349;Ajustar a configuração do Locale para todo o sistema;17;GSAN;Corretiva;1
11357;Salvar as informações do campo observação em local específico para a Tarifa Social;17;GSAN;Evolutiva;1
11523;Verificar e corrigir duplicidades no cadastro das localidades preestabelecidas.;16;SGCQ;Corretiva;1
11665;Unidade de processamento por arquivo;17;GSAN;Corretiva;1
11709;Quantidade de cortes executados;17;GSAN;Corretiva;1
11917;NETBASE - Sistema da Informação de Gestão Operacional dos Sistema de Abastecimento de água;3;Alpha;Evolutiva;1
11923;Relatório Orçamento;3;Alpha;Evoluções e Novos Projetos;1
11996;Odebrecht :: Gerar TXT Parcelamentos Negociados Empresa Cobranca com Novos Campos;17;GSAN;Atendimento;1
12217;Evolução do Processo de Acompanhamento de Demandas pela Ouvidoria COMPESA;17;GSAN;Evolutiva;1
12348;Ausência de indicador em tela de manutenção de anormalidade de consumo;17;GSAN;Corretiva;1
12356;RD de Tarifa Social (impactos no GSAN) – Perfil de ligação;17;GSAN;Evolutiva;1
12358;RD de Tarifa Social (impactos no GSAN) – Trava no sistema;17;GSAN;Evolutiva;1
12359;RD de Tarifa Social (impactos no GSAN) – Tela para exclusão da TS;17;GSAN;Evolutiva;1
12360;RD de Tarifa Social (impactos no GSAN) – Inserir Registro de Atendimento (especificação);17;GSAN;Evolutiva;1
12361;RD de Tarifa Social (impactos no GSAN) – Alteração na tela “Inserir Dados da Tarifa Social”;17;GSAN;Evolutiva;1
12447;Plano de Ação :: Auditoria Interna :: Subprocesso de Faturamento;17;GSAN;Evolutiva;1
12487;Plano de Ação :: Auditoria Interna :: Rec04;17;GSAN;Evolutiva;1
12538;Plano de Ação :: Auditoria Interna :: Rec09;17;GSAN;Evolutiva;1
12539;Plano de Ação :: Auditoria Interna :: Rec11;17;GSAN;Evolutiva;1
12540;Plano de Ação :: Auditoria Interna :: Rec12;17;GSAN;Evolutiva;1
12579;Ajuste nas funcionalidades "Inserir Registro de Atendimento" e "Consultar Dados do Registro de Atendimento";17;GSAN;Corretiva;1
12759;Erro no relatório de resumo de ligações e economias;17;GSAN;Corretiva;1
12872;Contrato Demanda para imóveis com mais de uma economia;17;GSAN;Corretiva;1
12916;[COMERCIAL] Criar área para dicas úteis;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
13130;Relatorio de Historico Exames Medicos;3;Alpha;Evoluções e Novos Projetos;1
13421;Projeto SIG :: Inclusão de Queries no SIG;41;Departamentais;Evolutiva;1
13431;CRIAR NO SIG RELATÓRIO COM GRÁFICO DE SERVIÇOS PENDENTES;61;SIG - Sistema Informações Gerenciais;Atendimento;1
13451;Atualizar Dados cadastrais para o imovel: Voltando para tela de pesquisa;17;GSAN;Corretiva;1
13465;Motivo não entrega de contas - Retorno ISC;17;GSAN;Desenvolvimento;1
13506;Ajustes funcionalidades Android RM12873;17;GSAN;Evolutiva;1
13593;regra de medição individualizada;17;GSAN;Evolutiva;1
13820;Norma de REVISÃO POR INICIATIVA DO CLIENTE;17;GSAN;Evolutiva;1
13880;Alteração de Vencimento das Faturas;17;GSAN;Corretiva;1
13946;MEDIÇÃO INDIVIDUALIZADA PARA HABITACIONAIS POPULARES;17;GSAN;Evolutiva;1
13983;Faturamento e arrecadação sobre análise de projetos;41;Departamentais;Evolutiva;1
14046;Estratégico DMA :: Novo Modelo de Contrato de Cadastro;17;GSAN;Evolutiva;1
14047;Estratégico DMA :: Vinculação de CPF e Contrato de Prestação de Serviço em Processos de Cobrança;17;GSAN;Evolutiva;1
14048;Estratégico DMA :: Demandas Evolutivas Prioritárias;17;GSAN;Evolutiva;1
14066;ajuste na geração da OS de corte para o GSANEOS;17;GSAN;Atendimento;1
14078;Verificar como o GSAN associou/permitiu inserir vários códigos de cliente para o mesmo CPF 127.916.088-85;17;GSAN;Atendimento;1
14107;Criação de módulo de Empreendimentos no SIM;20;SIM;Evolutiva;1
14157;Alteração no relatório de acompanhamento da atualização cadastral;41;Departamentais;Atendimento;1
14188;Problema no Cancelamento do Contrato de Parcelamento;17;GSAN;Evolutiva;1
14199;Marcar no GSAN as ações de cobrança SMS 1 e 2 e Tele Cobrança;38;BI Desenvolvimento;Atendimento;1
14205;Devolução de Pagamento em Duplicidade;17;GSAN;Evolutiva;1
14215;Análise das validações do Virtual 2 - Críticas;17;GSAN;Evolutiva;1
14298;Erro no Processo de Atualização Cadastral - Alteração não realizada no Virtual II;17;GSAN;Corretiva;1
14326;Inclusão Campos Boletim de Medição;17;GSAN;Evolutiva;1
14344;[COMERCIAL] Criar visão Simulador de Arrec - Fat - Adimplência;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
14348;[PREMISSAS] Desenvolver BI com as informações das premissas de faturamento;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
14358;Consulta de inscrição associada a imóvel excluído;17;GSAN;Corretiva;1
14366;DOAÇÕES EM CONTA;17;GSAN;Evolutiva;1
14422;parcelamento pela Internet - cliente pagou a entrada e o sistema não reconheceu;17;GSAN;Corretiva;1
14455;Solicitação de Materiais;20;SIM;Evoluções e Novos Projetos;1
14473;Impossibilidade na atualização de dados da tarifa social;17;GSAN;Corretiva;1
14569;Envio de faturas por e-mail para o cliente responsável.;17;GSAN;Evolutiva;1
14638;Criação de relatório SIG;61;SIG - Sistema Informações Gerenciais;Atendimento;1
14668;Verificar erro no GSAN - Consultar Debitos;17;GSAN;Corretiva;1
14751;Novo contrato de cadastro - Implantação;17;GSAN;Desenvolvimento;1
14766;[GSANISC] Contrato Demanda para imóveis com mais de uma economia;17;GSAN;Corretiva;1
