rm;sprint;data_sprint
8282;201804-01;2018-04-16 11:11:03
8282;201804-02;2018-04-16 11:40:26
8282;201805-01;2018-05-02 10:17:34
12217;201712-02;2018-01-02 00:00:00
12217;201801-01;2018-01-02 15:26:04
12217;201801-02;2018-01-16 11:37:25
12217;201802-01;2018-01-30 09:52:07
12217;201802-02;2018-02-19 16:34:37
12217;201803-01;2018-03-08 08:55:06
12872;201708-02;2018-01-02 00:00:00
13431;201505-01;2018-01-02 00:00:00
13593;201712-02;2018-01-02 00:00:00
13593;201801-01;2018-01-02 16:12:21
13593;201802-01;2018-01-15 13:33:04
13593;201802-02;2018-02-19 16:37:05
13593;201803-01;2018-03-07 12:02:29
13593;201803-02;2018-03-20 17:02:46
13593;201804-01;2018-04-02 11:31:36
13593;201804-02;2018-04-16 10:43:03
13820;201712-02;2018-01-02 00:00:00
13820;201801-01;2018-01-02 16:12:27
13820;201801-02;2018-01-16 11:39:55
13820;201802-01;2018-01-30 10:10:05
13820;201802-02;2018-02-19 16:36:10
13820;201803-01;2018-03-07 11:45:59
13820;;2018-03-08 15:34:32
13946;201706-01;2018-01-02 00:00:00
13946;;2018-02-22 16:29:17
14046;201709-01;2018-01-02 00:00:00
14047;201707-01;2018-01-02 00:00:00
14188;201712-02;2018-01-02 08:49:17
14188;201801-01;2018-01-02 08:50:28
14188;201801-02;2018-01-16 11:37:33
14188;201802-01;2018-01-30 09:52:10
14188;201802-02;2018-02-19 16:33:54
14188;201803-01;2018-03-08 08:55:14
14205;201704-01;2018-01-02 00:00:00
14215;201712-02;2018-01-02 00:00:00
14215;201801-01;2018-01-02 15:26:10
14215;201801-02;2018-01-16 11:37:34
14215;;2018-01-29 15:37:49
14298;201705-01;2018-01-02 00:00:00
14422;201712-02;2018-01-02 00:00:00
14422;201801-01;2018-01-02 16:12:28
14455;201712-02;2018-01-02 00:00:00
14455;201801-01;2018-01-02 11:46:00
14455;;2018-01-15 10:31:23
14473;201805-02;2018-05-11 16:00:53
14569;201712-02;2018-01-02 00:00:00
14569;201801-01;2018-01-02 15:26:11
14569;201801-02;2018-01-16 11:37:36
14569;201802-01;2018-01-30 09:52:12
14742;201801-02;2018-01-10 11:00:20
14742;201802-01;2018-01-15 13:34:47
14742;201802-02;2018-02-19 16:37:07
14742;201803-01;2018-03-07 12:02:36
14742;201803-02;2018-03-20 17:02:50
14742;201804-01;2018-04-02 11:31:38
14742;201804-02;2018-04-16 10:43:11
14838;201704-02;2018-01-02 00:00:00
14855;201703-01;2018-01-02 00:00:00
14911;201710-01;2018-01-02 00:00:00
14960;201703-02;2018-01-02 00:00:00
14960;201801-02;2018-01-16 17:09:20
14968;201703-02;2018-01-02 00:00:00
14991;201708-02;2018-01-02 00:00:00
15025;201704-01;2018-01-02 00:00:00
15180;201801-01;2018-01-02 00:00:00
15227;201703-02;2018-01-02 00:00:00
15229;201703-02;2018-01-02 00:00:00
15230;201703-02;2018-01-02 00:00:00
15231;201703-02;2018-01-02 00:00:00
15232;201703-02;2018-01-02 00:00:00
15277;201706-02;2018-01-02 00:00:00
15431;;2018-01-02 00:00:00
15613;201705-01;2018-01-02 00:00:00
15613;201803-01;2018-02-27 11:05:46
15613;201803-02;2018-03-20 11:31:53
15613;201804-01;2018-04-02 11:33:00
15835;201712-02;2018-01-02 00:00:00
15835;201801-01;2018-01-02 15:26:12
15835;201801-02;2018-01-16 11:37:38
15839;201805-02;2018-05-11 15:52:50
15842;201712-02;2018-01-02 00:00:00
15842;201802-01;2018-01-02 15:15:20
15842;201801-01;2018-01-08 10:32:45
15842;201801-02;2018-01-16 11:37:40
15842;201802-01;2018-01-30 09:52:13
15846;201802-01;2018-01-17 13:42:38
15846;201802-02;2018-02-19 16:33:55
15847;201802-01;2018-01-26 11:24:56
15847;201802-02;2018-02-19 16:32:51
15852;201802-01;2018-01-26 11:16:55
15852;201802-02;2018-02-19 16:32:57
15852;201803-01;2018-03-08 08:55:15
15857;201802-02;2018-02-16 15:44:43
15857;;2018-03-07 15:29:15
15875;201707-02;2018-01-02 00:00:00
15891;201801-02;2018-01-15 13:55:53
15891;201802-01;2018-01-30 09:52:15
15891;201802-02;2018-02-19 16:32:58
15924;201802-01;2018-01-26 11:18:55
15924;201802-02;2018-02-19 16:33:56
15924;201803-01;2018-03-08 08:55:16
15924;201803-02;2018-03-20 17:01:09
15927;201712-02;2018-01-02 00:00:00
15935;;2018-01-02 00:00:00
15941;201712-02;2018-01-02 00:00:00
15941;201801-01;2018-01-02 11:46:06
15941;201801-02;2018-01-16 08:19:49
15941;201802-01;2018-01-30 09:47:28
15941;201802-02;2018-02-19 16:30:01
15941;201803-01;2018-03-07 16:58:18
15941;201803-02;2018-03-20 11:31:59
15945;201712-02;2018-01-02 00:00:00
15945;201801-01;2018-01-02 15:26:13
15945;201801-02;2018-01-16 11:37:42
15945;201802-01;2018-01-30 09:52:17
15945;201802-02;2018-02-19 16:34:39
15945;;2018-03-07 15:23:00
15954;201706-01;2018-01-02 00:00:00
16111;;2018-01-02 00:00:00
16150;201709-01;2018-01-02 00:00:00
16162;;2018-01-02 00:00:00
16166;201710-02;2018-01-02 00:00:00
16188;201712-02;2018-01-02 00:00:00
16188;201801-01;2018-01-02 15:26:14
16188;201801-02;2018-01-16 11:37:43
16188;201802-01;2018-01-30 09:52:18
16188;201802-02;2018-02-19 16:32:59
16188;201803-01;2018-03-08 08:55:17
16188;201803-02;2018-03-20 17:01:15
16188;201804-01;2018-04-03 09:11:41
16188;201804-02;2018-04-16 16:03:39
16189;;2018-01-02 00:00:00
16191;201710-01;2018-01-02 00:00:00
16202;201712-02;2018-01-02 00:00:00
16202;201801-01;2018-01-02 16:12:29
16202;201803-01;2018-01-10 09:31:56
16202;201803-02;2018-03-20 17:03:56
16202;201804-01;2018-04-02 11:31:40
16202;201804-02;2018-04-16 11:40:32
16202;201805-01;2018-05-02 10:17:40
16231;201712-02;2018-01-02 00:00:00
16231;201801-01;2018-01-02 15:26:18
16244;201712-02;2018-01-02 00:00:00
16244;201801-01;2018-01-02 11:38:36
16279;201801-01;2018-01-02 11:05:23
16286;201706-02;2018-01-02 00:00:00
16455;201710-01;2018-01-02 00:00:00
16455;201801-01;2018-01-09 08:55:39
16455;201801-02;2018-01-16 11:40:02
16455;201802-01;2018-01-30 10:10:17
16520;201712-02;2018-01-02 00:00:00
16520;201801-01;2018-01-02 16:12:30
16520;201802-01;2018-01-15 13:33:10
16520;201802-02;2018-02-19 16:36:13
16520;201803-01;2018-03-07 12:02:39
16520;201803-02;2018-03-20 17:02:54
16520;201804-01;2018-04-02 11:31:42
16520;201804-02;2018-04-16 11:40:33
16520;201805-01;2018-05-02 10:17:42
16593;201801-01;2018-01-15 16:48:17
16593;201801-02;2018-01-16 11:40:04
16593;201802-01;2018-01-30 10:10:18
16593;201802-02;2018-02-19 16:36:15
16603;201804-01;2018-04-02 11:51:05
16603;201804-02;2018-04-16 11:40:34
16603;201805-01;2018-05-02 10:17:43
16616;201712-02;2018-01-02 00:00:00
16616;201801-01;2018-01-02 15:26:19
16616;201801-02;2018-01-16 11:37:49
16616;201802-01;2018-01-30 09:52:25
16616;201802-02;2018-02-19 16:33:58
16616;201803-01;2018-03-08 08:55:21
16657;201712-02;2018-01-02 00:00:00
16657;201801-01;2018-01-02 15:26:20
16657;201802-01;2018-01-15 13:26:54
16657;201802-02;2018-01-29 13:02:45
16657;201803-01;2018-03-08 08:55:22
16657;201803-02;2018-03-20 17:01:18
16657;201804-02;2018-04-02 13:08:52
16657;201805-01;2018-05-02 10:09:50
16662;201804-01;2018-04-02 11:52:28
16662;201804-02;2018-04-16 11:40:37
16662;201805-01;2018-05-02 10:17:46
16748;201712-02;2018-01-02 00:00:00
16748;201801-01;2018-01-02 15:26:21
16748;201801-02;2018-01-16 11:37:51
16759;;2018-01-02 00:00:00
16790;201712-02;2018-01-02 00:00:00
16790;201801-01;2018-01-02 16:12:31
16826;201804-01;2018-04-02 11:50:31
16826;201804-02;2018-04-16 11:40:36
16826;201805-01;2018-05-02 10:17:44
16852;201712-02;2018-01-02 00:00:00
16852;201801-01;2018-01-02 15:26:22
16974;201712-02;2018-01-02 00:00:00
16974;201801-01;2018-01-02 16:12:32
17002;;2018-01-02 00:00:00
17069;201712-02;2018-01-02 00:00:00
17069;201801-01;2018-01-02 15:12:43
17069;201801-02;2018-01-16 11:37:53
17069;201802-01;2018-01-30 09:52:27
17076;201805-02;2018-05-11 15:50:36
17096;201712-02;2018-01-02 00:00:00
17096;201801-01;2018-01-02 15:27:52
17096;201801-02;2018-01-16 11:38:41
17096;201802-02;2018-01-30 09:34:29
17096;201803-01;2018-03-08 08:55:23
17096;201803-02;2018-03-20 17:02:10
17096;201804-01;2018-04-03 09:12:51
17096;201804-02;2018-04-16 16:03:47
17096;201805-01;2018-05-02 10:09:51
17106;201802-02;2018-02-20 13:54:53
17141;201712-02;2018-01-02 00:00:00
17141;201801-01;2018-01-02 16:12:33
17141;201801-02;2018-01-16 11:40:06
17141;201802-01;2018-01-30 10:10:20
17141;201802-02;2018-02-19 16:36:16
17237;201712-01;2018-01-02 00:00:00
17237;201801-02;2018-01-15 11:37:49
17237;201802-01;2018-01-29 10:24:14
