rm;tipo_rm;data_transicao
2901;Atendimento;2018-01-02 00:00:00
8242;Atendimento;2018-01-30 08:51:35
8242;Evoluções e Novos Projetos;2018-01-30 08:52:14
10981;Corretiva;2018-01-02 00:00:00
11328;Corretiva;2018-01-02 00:00:00
11357;Evolutiva;2018-01-02 00:00:00
11709;Corretiva;2018-01-02 00:00:00
12217;Evolutiva;2018-01-02 00:00:00
12348;Corretiva;2018-01-02 00:00:00
12356;Evolutiva;2018-01-02 00:00:00
12358;Evolutiva;2018-01-02 00:00:00
12359;Evolutiva;2018-01-02 00:00:00
12360;Evolutiva;2018-01-02 00:00:00
12361;Evolutiva;2018-01-02 00:00:00
12487;Evolutiva;2018-01-02 00:00:00
12539;Evolutiva;2018-01-02 00:00:00
12759;Corretiva;2018-01-02 00:00:00
12872;Corretiva;2018-01-02 00:00:00
12916;Evoluções e Novos Projetos;2018-01-02 00:00:00
13130;Evoluções e Novos Projetos;2018-01-02 14:53:29
13431;Atendimento;2018-01-02 00:00:00
13593;Evolutiva;2018-01-02 00:00:00
13820;Evolutiva;2018-01-02 00:00:00
13880;Corretiva;2018-01-02 00:00:00
13946;Evolutiva;2018-01-02 00:00:00
14148;Evolutiva;2018-01-29 08:47:35
14188;Evolutiva;2018-01-02 00:00:00
14205;Evolutiva;2018-01-02 00:00:00
14215;Evolutiva;2018-01-02 00:00:00
14298;Corretiva;2018-01-02 00:00:00
14326;Evolutiva;2018-01-02 00:00:00
14344;Evoluções e Novos Projetos;2018-01-02 00:00:00
14348;Evoluções e Novos Projetos;2018-01-02 00:00:00
14358;Corretiva;2018-01-02 00:00:00
14366;Evolutiva;2018-01-02 00:00:00
14422;Corretiva;2018-01-02 00:00:00
14455;Evoluções e Novos Projetos;2018-01-02 00:00:00
14473;Corretiva;2018-01-02 00:00:00
14569;Evolutiva;2018-01-02 00:00:00
14668;Corretiva;2018-01-02 00:00:00
14742;Evolutiva;2018-02-07 16:21:40
14832;Evoluções e Novos Projetos;2018-01-02 00:00:00
14838;Consultoria;2018-01-02 00:00:00
