rm;id_projeto;projeto;tipo_rm;situacao_atual;situacao_inicial;situacao_final;transicao;criacao_rm;updated_on;is_backlog
2901;9;GMNE;Atendimento;Cancelada;Registrada;Em análise;2017-07-20 15:39:28;2010-04-26 10:56:32;2018-06-08 16:09:45;1
2901;9;GMNE;Atendimento;Cancelada;Em análise;Cancelada;2018-06-08 16:09:45;2010-04-26 10:56:32;2018-06-08 16:09:45;1
8023;16;SGCQ;Evolutiva;Pronta para Homologação;Registrada;Iniciada;2012-10-26 08:11:16;2012-09-28 09:35:32;2012-11-30 15:42:58;1
8023;16;SGCQ;Evolutiva;Pronta para Homologação;Iniciada;Pronta para Homologação;2012-11-30 15:42:58;2012-09-28 09:35:32;2012-11-30 15:42:58;1
8242;3;Alpha;Evoluções e Novos Projetos;Cancelada;Registrada;Iniciada;2012-11-06 08:40:43;2012-10-31 15:39:30;2018-01-30 08:52:14;1
8242;3;Alpha;Evoluções e Novos Projetos;Cancelada;Iniciada;Pronta para Homologação;2012-11-08 11:15:48;2012-10-31 15:39:30;2018-01-30 08:52:14;1
8242;3;Alpha;Evoluções e Novos Projetos;Cancelada;Pronta para Homologação;Cancelada;2018-01-30 08:52:14;2012-10-31 15:39:30;2018-01-30 08:52:14;1
8282;17;GSAN;Evolutiva;Reaberta;Registrada;;2012-11-12 10:52:56;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;;2013-01-02 15:33:49;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;;2013-02-15 10:49:51;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;;2013-02-26 16:04:48;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;;2013-02-28 10:29:41;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;;2013-04-17 17:04:09;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;;2013-05-06 08:10:22;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;;2013-05-06 09:10:27;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;;2013-07-12 08:16:13;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;Aguardando Informação;2014-03-11 09:29:25;2012-11-08 12:07:04;2018-05-28 15:40:13;1
